lng,lat,count
116.41,39.980000000000004,195
116.43,39.980000000000004,119
116.44,39.94,379
116.45,39.94,165
116.44,39.95,96
116.43,39.94,137
116.46000000000001,39.94,254
116.41,39.99,58
116.4,39.99,120
116.45,39.95,191
116.38,40.0,44
116.38,39.99,76
116.46000000000001,39.93,716
116.37,39.89,58
116.42,39.9,39
116.4,40.0,27
116.44,39.980000000000004,29
116.31,40.01,37
116.28,39.76,18
116.26,39.77,34
116.26,39.76,30
116.28,39.77,22
116.2,40.2,2
116.21000000000001,40.21,2
116.2,40.21,1
116.58,39.94,5
116.48,39.92,467
116.37,39.79,33
116.63,39.87,14
116.63,39.86,8
116.41,40.0,21
116.84,39.75,2
116.85000000000001,39.74,8
116.57000000000001,39.76,9
116.31,39.52,1
116.49000000000001,39.92,286
116.5,39.92,415
116.34,39.82,104
116.34,39.81,42
116.49000000000001,39.910000000000004,345
116.48,39.9,249
116.48,39.910000000000004,440
116.45,39.93,172
116.39,39.99,9
116.48,39.89,650
116.47,39.94,91
116.48,39.93,360
116.5,39.9,180
116.47,39.97,93
116.48,39.95,178
116.45,39.96,247
116.46000000000001,39.97,107
116.47,39.93,277
116.41,40.09,2
116.41,40.1,24
116.33,39.79,46
116.68,39.93,56
116.68,39.92,34
116.60000000000001,39.9,55
116.59,39.910000000000004,117
116.60000000000001,39.910000000000004,63
116.55,39.9,69
116.43,39.96,124
116.41,39.96,320
116.47,39.96,118
116.45,39.800000000000004,262
116.35000000000001,39.75,3
116.34,39.74,11
116.52,39.9,75
116.47,39.9,729
116.31,39.92,89
116.51,39.89,65
116.51,39.9,86
116.54,39.9,26
116.53,39.9,63
116.48,39.94,71
116.28,39.85,98
116.27,39.95,37
116.27,39.94,70
116.46000000000001,39.88,812
116.46000000000001,39.89,603
116.45,39.85,20
116.48,39.97,165
116.49000000000001,39.96,156
116.29,39.82,96
116.37,39.88,13
116.5,39.910000000000004,190
116.44,39.97,120
116.48,39.86,138
116.3,39.83,44
116.28,39.83,134
116.28,39.84,73
116.27,39.88,65
116.27,39.89,124
116.44,39.83,106
116.42,39.97,65
116.64,39.9,43
116.68,39.88,18
116.41,40.07,28
116.39,40.1,3
116.46000000000001,39.95,266
116.13,39.94,4
116.25,39.97,7
116.24000000000001,39.97,4
116.34,39.89,64
116.34,39.88,42
116.39,39.96,126
116.51,39.910000000000004,221
116.5,39.93,197
116.51,39.92,288
116.51,39.93,82
116.52,39.92,106
116.41,40.02,48
116.42,40.02,8
116.44,39.96,250
116.29,39.77,72
116.37,39.96,77
116.36,39.96,60
116.38,39.96,163
116.38,39.97,53
116.51,39.82,37
